"No.","average","variance","class"
74,73,1.18673220792786,label
75,74,1.2780193008453875,label
76,73,4.564354645876384,label
77,71,1.0041580220928046,label
78,73,1.18673220792786,label
79,74,11.41088661469096,label
80,74,1.2780193008453875,label
81,74,1.2780193008453875,label
82,71,1.0041580220928046,label
83,71,1.0041580220928046,label
84,70,0.9128709291752769,label
85,71,1.0041580220928046,label
86,72,1.0954451150103321,label
87,71,1.0041580220928046,label
88,70,0.9128709291752769,label
89,71,4.74692883171144,label
90,70,0.9128709291752769,label
91,71,1.0041580220928046,label
92,73,1.18673220792786,label
93,71,1.0041580220928046,label
94,72,1.0954451150103321,label
95,75,5.8423739467217715,label
96,74,1.2780193008453875,label
97,75,1.3693063937629153,label
98,76,4.290493367123801,label
99,73,1.18673220792786,label
100,73,1.18673220792786,label
101,72,1.0954451150103321,label
102,72,4.655641738793912,label
103,73,1.18673220792786,label
104,72,1.0954451150103321,label
105,72,4.655641738793912,label
106,72,1.0954451150103321,label
107,71,1.0041580220928046,label
108,72,1.0954451150103321,label
109,72,1.0954451150103321,label
110,72,4.655641738793912,label
111,72,1.0954451150103321,label
112,71,1.0041580220928046,label
113,70,0.9128709291752769,label
114,70,0.9128709291752769,label
115,72,6.116235225474354,label
116,71,1.0041580220928046,label
117,77,9.037422198835241,label
118,81,8.67227382716513,label
119,95,0.3651483716701107,label
120,101,2.647325694608303,label
121,98,2.37346441585572,label
122,95,3.3776224379485242,label
123,81,0.45643546458763845,label
124,78,0.5477225575051661,label
125,78,0.5477225575051661,label
126,81,0.8215838362577492,label
127,82,0.9128709291752769,label
128,114,4.929503017546495,label
129,114,4.929503017546495,label
130,108,4.381780460041329,label
131,107,4.290493367123801,label
132,72,1.0954451150103321,label
133,71,1.0041580220928046,label
134,73,1.18673220792786,label
135,72,1.0954451150103321,label
136,72,1.0954451150103321,label
137,73,1.18673220792786,label
138,72,1.0954451150103321,label
139,74,1.2780193008453875,label
140,73,1.18673220792786,label
141,73,4.564354645876384,label
142,74,5.9336610396393,label
143,71,1.0041580220928046,label
144,72,1.0954451150103321,label
145,73,4.564354645876384,label
146,72,1.0954451150103321,label
147,73,1.18673220792786,label
148,74,1.2780193008453875,label
149,73,1.18673220792786,label
150,74,13.510489751794097,label
151,74,1.2780193008453875,label
152,73,1.18673220792786,label
153,73,1.18673220792786,label
154,71,1.0041580220928046,label
155,71,1.0041580220928046,label
156,72,1.0954451150103321,label
157,72,1.0954451150103321,label
158,72,4.655641738793912,label
159,75,4.381780460041329,label
160,74,4.473067552958857,label
161,74,1.2780193008453875,label
162,74,1.2780193008453875,label
163,73,4.564354645876384,label
164,75,1.3693063937629153,label
165,75,4.381780460041329,label
166,74,4.473067552958857,label
167,73,1.18673220792786,label
168,72,1.0954451150103321,label
169,72,1.0954451150103321,label
170,74,4.473067552958857,label
171,73,1.18673220792786,label
172,72,1.0954451150103321,label
173,74,1.2780193008453875,label
174,73,1.18673220792786,label
175,74,4.473067552958857,label
176,74,1.2780193008453875,label
177,73,4.290493367123801,label
178,73,1.18673220792786,label
179,72,1.0954451150103321,label
180,72,1.0954451150103321,label
181,72,6.116235225474354,label
182,71,1.0041580220928046,label
183,71,1.0041580220928046,label
184,72,1.0954451150103321,label
185,72,1.0954451150103321,label
186,73,1.18673220792786,label
187,75,4.381780460041329,label
188,74,1.2780193008453875,label
189,75,4.381780460041329,label
190,74,1.2780193008453875,label
191,73,1.18673220792786,label
192,73,1.18673220792786,label
193,71,4.74692883171144,label
194,71,1.0041580220928046,label
195,72,1.0954451150103321,label
196,71,1.0041580220928046,label
197,71,1.0041580220928046,label
198,74,1.2780193008453875,label
199,73,1.18673220792786,label
200,77,1.5518805795979707,label
201,77,4.199206274206274,label
202,74,1.2780193008453875,label
203,75,13.41920265887657,label
204,71,1.0041580220928046,label
205,71,1.0041580220928046,label
206,72,1.0954451150103321,label
207,71,1.0041580220928046,label
208,71,1.0041580220928046,label
209,72,1.0954451150103321,label
210,71,1.0041580220928046,label
211,71,1.0041580220928046,label
212,73,1.18673220792786,label
213,72,1.0954451150103321,label
214,72,1.0954451150103321,label
215,73,1.18673220792786,label
216,71,1.0041580220928046,label
217,71,1.0041580220928046,label
218,74,4.473067552958857,label
219,72,1.0954451150103321,label
220,73,1.18673220792786,label
221,73,1.18673220792786,label
222,70,0.9128709291752769,label
223,72,1.0954451150103321,label
224,73,1.18673220792786,label
225,73,1.18673220792786,label
226,76,1.4605934866804429,label
227,74,1.2780193008453875,label
228,71,1.0041580220928046,label
229,73,1.18673220792786,label
230,71,1.0041580220928046,label
231,72,1.0954451150103321,label
232,73,1.18673220792786,label
233,72,1.0954451150103321,label
234,73,1.18673220792786,label
235,73,4.564354645876384,label
236,73,4.564354645876384,label
237,75,9.85900603509299,label
238,73,1.18673220792786,label
239,73,1.18673220792786,label
240,74,1.2780193008453875,label
241,71,1.0041580220928046,label
242,72,1.0954451150103321,label
243,74,1.2780193008453875,label
244,72,1.0954451150103321,label
245,73,4.564354645876384,label
246,73,1.18673220792786,label
247,72,1.0954451150103321,label
248,72,1.0954451150103321,label
249,72,1.0954451150103321,label
250,71,1.0041580220928046,label
251,70,0.9128709291752769,label
252,72,4.655641738793912,label
253,71,1.0041580220928046,label
254,73,1.18673220792786,label
255,73,1.18673220792786,label
256,72,1.0954451150103321,label
257,73,1.18673220792786,label
258,72,1.0954451150103321,label
259,72,1.0954451150103321,label
260,73,4.564354645876384,label
261,72,4.655641738793912,label
262,73,1.18673220792786,label
263,73,4.564354645876384,label
264,71,1.0041580220928046,label
265,72,1.0954451150103321,label
266,73,1.18673220792786,label
267,73,6.024948132556827,label
268,74,13.510489751794097,label
269,74,1.2780193008453875,label
270,72,1.0954451150103321,label
271,72,1.0954451150103321,label
272,71,1.0041580220928046,label
273,71,1.0041580220928046,label
274,72,1.0954451150103321,label
