@relation traffic_pattern
@attribute data_ave real
@attribute data_var real
@attribute class {label}

@data
84,3.0983866769659336,label
91,10.973452814254347,label
107,6.0676739090582865,label
113,8.133265027035575,label
111,1.5491933384829668,label
108,6.196773353931867,label
109,6.325872798805447,label
112,5.163977794943222,label
92,2.581988897471611,label
88,2.065591117977289,label
85,1.6782927833565473,label
85,1.6782927833565473,label
85,1.6782927833565473,label
79,6.84227057829977,label
78,0.7745966692414834,label
78,0.7745966692414834,label
78,1.0327955589886444,label
78,0.7745966692414834,label
78,0.7745966692414834,label
78,0.7745966692414834,label
78,0.7745966692414834,label
78,0.7745966692414834,label
78,0.7745966692414834,label
77,0.6454972243679028,label
84,0.2581988897471611,label
85,1.6782927833565473,label
86,1.8073922282301278,label
86,1.8073922282301278,label
86,1.8073922282301278,label
86,1.8073922282301278,label
103,119.80428484268276,label
143,10.715253924507186,label
142,10.586154479633606,label
142,10.586154479633606,label
141,10.457055034760025,label
139,10.198856145012865,label
115,7.1004694680469305,label
